audio_path,audio_filename.wav,subtitle,text_for_tts,original_english
\voice\acknowledge\OK,1.wav,in Ordnung,in Ordnung,okay
\voice\acknowledge\OK,10.wav,bestätigt,bestätigt,acknowledged
\voice\acknowledge\OK,11.wav,bestätigt,bestätigt,acknowledged
\voice\acknowledge\OK,2.wav,verstanden,verstanden,understood
\voice\acknowledge\OK,3.wav,bestätigt,bestätigt,acknowledged
\voice\acknowledge\OK,4.wav,bestätigt,bestätigt,acknowledged
\voice\acknowledge\OK,5.wav,akzeptiert,akzeptiert,acknowledged
\voice\acknowledge\OK,6.wav,bestätigt,bestätigt,acknowledged
\voice\acknowledge\OK,7.wav,bestätigt,bestätigt,acknowledged
\voice\acknowledge\OK,8.wav,bestätigt,bestätigt,acknowledged
\voice\acknowledge\OK,9.wav,bestätigt,bestätigt,acknowledged
\voice\acknowledge\cut_warnings_disabled,1.wav,"in Ordnung, keine weiteren Kurzschlusswarnungen","in Ordnung, keine weiteren Kurzschlusswarnungen","okay, no more cut-track warnings"
\voice\acknowledge\cut_warnings_disabled,2.wav,"verstanden, keine Warnungen für Abkürzungen","verstanden, keine Warnungen für Abkürzungen","understood, no cut-track warnings"
\voice\acknowledge\cut_warnings_disabled,3.wav,"in Ordnung, keine weiteren Kurzschluss-Warnungen","in Ordnung, keine weiteren Kurzschluss-Warnungen","okay, no more cut-track warnings"
\voice\acknowledge\cut_warnings_enabled,1.wav,"in Ordnung, wir werden Warnungen für den Kurvenabschnitt geben","in Ordnung, wir werden Warnungen für den Kurvenabschnitt geben","okay, we'll give cut-track warnings"
\voice\acknowledge\cut_warnings_enabled,2.wav,"verstanden, wir werden eine Warnung wegen der Streckengrenzen geben","verstanden, wir werden eine Warnung wegen der Streckengrenzen geben","understood, we'll warn about track limits"
\voice\acknowledge\cut_warnings_enabled,3.wav,"in Ordnung, ich werde die Kurvenwarnungen geben","in Ordnung, ich werde die Kurvenwarnungen geben","okay, I'll give cut warnings"
\voice\acknowledge\deltasDisabled,1.wav,"Kopie erhalten, keine weiteren Zeitspannen","Kopie erhalten, keine weiteren Zeitspannen","copy that, no more time deltas"
\voice\acknowledge\deltasDisabled,2.wav,"bestätigt, keine weiteren Deltas","bestätigt, keine weiteren Deltas","acknowledged, no more deltas"
\voice\acknowledge\deltasDisabled,3.wav,"in Ordnung, keine Deltas mehr","in Ordnung, keine Deltas mehr","okay, no more deltas"
\voice\acknowledge\deltasEnabled,1.wav,"in Ordnung, ich werde dir die Vorsprünge nennen","in Ordnung, ich werde dir die Vorsprünge nennen","okay, I'll tell you the gaps"
\voice\acknowledge\deltasEnabled,2.wav,"in Ordnung, ich werde dir die Abstände nennen","in Ordnung, ich werde dir die Abstände nennen","okay, I'll tell you the gaps"
\voice\acknowledge\deltasEnabled,3.wav,"in Ordnung, ich werde diese Abstände vorlesen","in Ordnung, ich werde diese Abstände vorlesen","okay, I'll read out those gaps"
\voice\acknowledge\deltasEnabled,4.wav,"bestätigt, Zeitticks pro Runde","bestätigt, Zeitticks pro Runde","acknowledged, time deltas every lap"
\voice\acknowledge\didnt_understand,1.wav,Das habe ich nicht verstanden,Das habe ich nicht verstanden,I didn't catch that
\voice\acknowledge\didnt_understand,10.wav,"sprechen Sie deutlicher, ich kann Sie nicht hören","sprechen Sie deutlicher, ich kann Sie nicht hören","speak more clearly, I can't hear you"
\voice\acknowledge\didnt_understand,11.wav,Das habe ich nicht verstanden,Das habe ich nicht verstanden,I didn't catch that
\voice\acknowledge\didnt_understand,12.wav,entschuldigung,entschuldigung,pardon
\voice\acknowledge\didnt_understand,13.wav,"tut mir leid, Kumpel, das habe ich nicht verstanden","tut mir leid, Kumpel, das habe ich nicht verstanden","sorry, mate, I didn't catch that"
\voice\acknowledge\didnt_understand,14.wav,"ah, nein, ich kann Sie einfach nicht hören","ah, nein, ich kann Sie einfach nicht hören","ah, no, I just can't hear you"
\voice\acknowledge\didnt_understand,2.wav,wiederholen Sie bitte,wiederholen Sie bitte,"repeat, please"
\voice\acknowledge\didnt_understand,3.wav,hat das nicht verstanden,hat das nicht verstanden,didn't understand that
\voice\acknowledge\didnt_understand,4.wav,wiederholen Sie,wiederholen Sie,say again
\voice\acknowledge\didnt_understand,5.wav,wiederholen Sie bitte,wiederholen Sie bitte,"repeat, please"
\voice\acknowledge\didnt_understand,6.wav,Das habe ich nicht verstanden,Das habe ich nicht verstanden,I didn't catch that
\voice\acknowledge\didnt_understand,7.wav,jetzt verlierst du die Verbindung,jetzt verlierst du die Verbindung,now you're breaking up
\voice\acknowledge\didnt_understand,8.wav,"Sie sind unterbrochen, bitte wiederholen Sie","Sie sind unterbrochen, bitte wiederholen Sie","you're breaking up, say again please"
\voice\acknowledge\didnt_understand,9.wav,"kann dich nicht hören, Kumpel","kann dich nicht hören, Kumpel","can't hear you, mate"
\voice\acknowledge\fill_the_tank,1.wav,"In Ordnung, wir werden den Tank füllen","In Ordnung, wir werden den Tank füllen","OK, we'll fill the tank"
\voice\acknowledge\fill_the_tank,2.wav,"In Ordnung, wir werden den Tank füllen","In Ordnung, wir werden den Tank füllen","OK, we'll fill the tank"
\voice\acknowledge\fill_the_tank,3.wav,"In Ordnung, wir werden den Tank füllen","In Ordnung, wir werden den Tank füllen","OK, we'll fill the tank"
\voice\acknowledge\fill_the_tank,4.wav,"In Ordnung, wir werden den Tank füllen","In Ordnung, wir werden den Tank füllen","OK, we'll fill the tank"
\voice\acknowledge\fuel_to_end,1.wav,"in Ordnung, wir werden dich bis zum Ende aufladen","in Ordnung, wir werden dich bis zum Ende aufladen","ok, we'll fill you to the end"
\voice\acknowledge\fuel_to_end,2_op_prefix_ok.wav,wir werden dich bis zum Ende betanken,wir werden dich bis zum Ende betanken,we'll fuel you to the end
\voice\acknowledge\fuel_to_end,3_op_prefix_ok.wav,wir tanken dich bis zum Ende des Rennens,wir tanken dich bis zum Ende des Rennens,we'll fill you to the end of the race
\voice\acknowledge\fuel_to_end,4_op_prefix_ok.wav,wir werden dich bis zum Ende des Rennens tanken,wir werden dich bis zum Ende des Rennens tanken,we'll fuel you to the end of the race
\voice\acknowledge\fuel_to_end,5_op_prefix_ok.wav,wir werden dich bis zum Ende des Rennens tanken,wir werden dich bis zum Ende des Rennens tanken,we'll fuel you to the end of the race
\voice\acknowledge\keepQuietDisabled,1.wav,"in Ordnung, wir halten Sie informiert","in Ordnung, wir halten Sie informiert","okay, we'll keep you posted"
\voice\acknowledge\keepQuietDisabled,2.wav,"verstanden, ich werde Sie informieren","verstanden, ich werde Sie informieren","understood, I'll keep you informed"
\voice\acknowledge\keepQuietDisabled,3.wav,"bestätigt, ich werde Sie auf dem Laufenden halten","bestätigt, ich werde Sie auf dem Laufenden halten","acknowledged, I'll keep you up to date"
\voice\acknowledge\keepQuietEnabled,1.wav,"in Ordnung, keine weiteren Updates","in Ordnung, keine weiteren Updates","okay, no more updates"
\voice\acknowledge\keepQuietEnabled,2.wav,"in Ordnung, ich werde still sein","in Ordnung, ich werde still sein","okay, I'll keep quiet"
\voice\acknowledge\keepQuietEnabled,3.wav,"in Ordnung, ich lasse dich damit alleine","in Ordnung, ich lasse dich damit alleine","okay, I'll leave you to it"
\voice\acknowledge\keep_quiet_in_corners_disabled,1.wav,"bestätigt, Anrufe zu jedem beliebigen Zeitpunkt während der Runde","bestätigt, Anrufe zu jedem beliebigen Zeitpunkt während der Runde","acknowledged, calls at any point during the lap"
\voice\acknowledge\keep_quiet_in_corners_disabled,2.wav,"verstanden, wir geben Rückmeldung zu jedem Zeitpunkt","verstanden, wir geben Rückmeldung zu jedem Zeitpunkt","copy that, we'll give call at any point"
\voice\acknowledge\keep_quiet_in_corners_disabled,3.wav,"verstanden, wir werden diese Anrufe zu jedem Zeitpunkt während der Runde machen","verstanden, wir werden diese Anrufe zu jedem Zeitpunkt während der Runde machen","understood, we'll give those calls at any point during the lap"
