audio_filename,original_text,text_for_tts
\voice\acknowledge\OK:1.wav,okay,oh-kay
\voice\acknowledge\OK:10.wav,acknowledged,ak-nol-ijd 
\voice\acknowledge\OK:11.wav,acknowledged,
\voice\acknowledge\OK:2.wav,understood,
\voice\acknowledge\OK:3.wav,acknowledged,
\voice\acknowledge\OK:4.wav,acknowledged,
\voice\acknowledge\OK:5.wav,acknowledged,
\voice\acknowledge\OK:6.wav,acknowledged,
\voice\acknowledge\OK:7.wav,acknowledged,
\voice\acknowledge\OK:8.wav,acknowledged,
\voice\acknowledge\OK:9.wav,acknowledged,
\voice\acknowledge\cut_warnings_disabled:1.wav,"okay, no more cut-track warnings",
\voice\acknowledge\cut_warnings_disabled:2.wav,"understood, no cut-track warnings",
\voice\acknowledge\cut_warnings_disabled:3.wav,"okay, no more cut-track warnings",
\voice\acknowledge\cut_warnings_enabled:1.wav,"okay, we'll give cut-track warnings",
\voice\acknowledge\cut_warnings_enabled:2.wav,"understood, we'll warn about track limits",
\voice\acknowledge\cut_warnings_enabled:3.wav,"okay, I'll give cut warnings",
\voice\acknowledge\deltasDisabled:1.wav,"copy that, no more time deltas",
\voice\acknowledge\deltasDisabled:2.wav,"acknowledged, no more deltas",
\voice\acknowledge\deltasDisabled:3.wav,"okay, no more deltas",
\voice\acknowledge\deltasEnabled:1.wav,"okay, I'll tell you the gaps",
\voice\acknowledge\deltasEnabled:2.wav,"okay, I'll tell you the gaps",
\voice\acknowledge\deltasEnabled:3.wav,"okay, I'll read out those gaps",
\voice\acknowledge\deltasEnabled:4.wav,"acknowledged, time deltas every lap",
\voice\acknowledge\didnt_understand:1.wav,I didn't catch that,
\voice\acknowledge\didnt_understand:10.wav,"speak more clearly, I can't hear you",
\voice\acknowledge\didnt_understand:11.wav,I didn't catch that,
\voice\acknowledge\didnt_understand:12.wav,pardon,
\voice\acknowledge\didnt_understand:13.wav,"sorry, mate, I didn't catch that",
\voice\acknowledge\didnt_understand:14.wav,"ah, no, I just can't hear you",
\voice\acknowledge\didnt_understand:2.wav,"repeat, please",
\voice\acknowledge\didnt_understand:3.wav,didn't understand that,
\voice\acknowledge\didnt_understand:4.wav,say again,
\voice\acknowledge\didnt_understand:5.wav,"repeat, please",
\voice\acknowledge\didnt_understand:6.wav,I didn't catch that,
\voice\acknowledge\didnt_understand:7.wav,now you're breaking up,
\voice\acknowledge\didnt_understand:8.wav,"you're breaking up, say again please",
\voice\acknowledge\didnt_understand:9.wav,"can't hear you, mate",
\voice\acknowledge\fill_the_tank:1.wav,"OK, we'll fill the tank",
\voice\acknowledge\fill_the_tank:2.wav,"OK, we'll fill the tank",
\voice\acknowledge\fill_the_tank:3.wav,"OK, we'll fill the tank",
\voice\acknowledge\fill_the_tank:4.wav,"OK, we'll fill the tank",
\voice\acknowledge\fuel_to_end:1.wav,"ok, we'll fill you to the end",
\voice\acknowledge\fuel_to_end:2_op_prefix_ok.wav,we'll fuel you to the end,
\voice\acknowledge\fuel_to_end:3_op_prefix_ok.wav,we'll fill you to the end of the race,
\voice\acknowledge\fuel_to_end:4_op_prefix_ok.wav,we'll fuel you to the end of the race,
\voice\acknowledge\fuel_to_end:5_op_prefix_ok.wav,we'll fuel you to the end of the race,
\voice\acknowledge\keepQuietDisabled:1.wav,"okay, we'll keep you posted",
\voice\acknowledge\keepQuietDisabled:2.wav,"understood, I'll keep you informed",
\voice\acknowledge\keepQuietDisabled:3.wav,"acknowledged, I'll keep you up to date",
\voice\acknowledge\keepQuietEnabled:1.wav,"okay, no more updates",
\voice\acknowledge\keepQuietEnabled:2.wav,"okay, I'll keep quiet",
\voice\acknowledge\keepQuietEnabled:3.wav,"okay, I'll leave you to it",
\voice\acknowledge\keep_quiet_in_corners_disabled:1.wav,"acknowledged, calls at any point during the lap",
\voice\acknowledge\keep_quiet_in_corners_disabled:2.wav,"copy that, we'll give call at any point",
\voice\acknowledge\keep_quiet_in_corners_disabled:3.wav,"understood, we'll give those calls at any point during the lap",
\voice\acknowledge\keep_quiet_in_corners_disabled:4.wav,"acknowledged, calls at any point in the lap",
\voice\acknowledge\keep_quiet_in_corners_enabled:1.wav,"understood, I'll keep quiet in the corners",
\voice\acknowledge\keep_quiet_in_corners_enabled:2.wav,"acknowledged, no more calls in the corners",
\voice\acknowledge\keep_quiet_in_corners_enabled:3.wav,"okay, I'll try to minimize the calls in the braking zones",
\voice\acknowledge\keep_quiet_in_corners_enabled:4.wav,"okay, call only on the straights",
\voice\acknowledge\no:1.wav,no,
\voice\acknowledge\no:2.wav,no,
\voice\acknowledge\no:3.wav,no,
\voice\acknowledge\no:4.wav,no,
\voice\acknowledge\no_data:1.wav,we don't have that data,
\voice\acknowledge\no_data:2.wav,we haven't got that data,
\voice\acknowledge\no_data:3.wav,we don't have enough data for that,
\voice\acknowledge\no_data:4.wav,we haven't got that data,
\voice\acknowledge\no_data:5.wav,we don't have the data,
\voice\acknowledge\no_more_data:1.wav,we don't have any more data,
\voice\acknowledge\no_more_data:2.wav,we have no more information,
\voice\acknowledge\no_more_data:3.wav,we don't have any more data,
\voice\acknowledge\pit_strategy_1:23.wav,pit strategy 1 selected,
\voice\acknowledge\pit_strategy_2:24.wav,pit strategy 2 selected,
\voice\acknowledge\pit_strategy_3:25.wav,pit strategy 3 selected,
\voice\acknowledge\pit_strategy_4:26.wav,pit strategy 4 selected,
\voice\acknowledge\radio_check:1_op_prefix_ok.wav,"yeah, I can hear you",
\voice\acknowledge\radio_check:2_op_prefix_ok.wav,I can hear you,
\voice\acknowledge\radio_check:3.wav,"yes, I can hear you",
\voice\acknowledge\spotterDisabled:1.wav,"okay, no more spotter calls",
\voice\acknowledge\spotterDisabled:2.wav,"okay, no spotter calls",
\voice\acknowledge\spotterDisabled:3.wav,"okay, no spot calls",
\voice\acknowledge\spotterEnabled:1.wav,"understood, I'll give those calls",
\voice\acknowledge\spotterEnabled:2.wav,"okay, I'll spot",
\voice\acknowledge\spotterEnabled:3.wav,"understood, I'll give those calls",
\voice\acknowledge\stand_by:1.wav,"okay, standby",
\voice\acknowledge\stand_by:2.wav,standby,
\voice\acknowledge\stand_by:3.wav,just a minute,
\voice\acknowledge\stand_by:4.wav,hold on,
\voice\acknowledge\stand_by:5.wav,standby,
\voice\acknowledge\stand_by:6.wav,standby,
\voice\acknowledge\stand_by:7.wav,standby,
\voice\acknowledge\stand_by:8.wav,just a minute,
\voice\acknowledge\yellowDisabled:1.wav,"okay, no more incident updates",
\voice\acknowledge\yellowDisabled:2.wav,"okay, no more yellow flag reports",
\voice\acknowledge\yellowDisabled:3.wav,"okay, no more yellow reports",
\voice\acknowledge\yellowEnabled:4.wav,"acknowledged, we'll report on yellows",
\voice\acknowledge\yellowEnabled:5.wav,"okay, we'll give yellow reports",
\voice\acknowledge\yellowEnabled:6.wav,"okay, we'll give you incident reports",
\voice\acknowledge\yes:1.wav,yes,
\voice\acknowledge\yes:2.wav,yes,
\voice\acknowledge\yes:3.wav,yes,
\voice\acknowledge\yes:4.wav,yea,
\voice\acknowledge\yes:5.wav,yes,
\voice\alarm_clock\alarms:1.wav,FOGHORN,
\voice\alarm_clock\am:1.wav,a.m.,
\voice\alarm_clock\am:2.wav,a.m.,
\voice\alarm_clock\am:3.wav,a.m.,
\voice\alarm_clock\notify:1.wav,we'll notify you at,
\voice\alarm_clock\notify:2.wav,"okay, we'll notify you at",
\voice\alarm_clock\notify:3.wav,"all right, we'll notify you at",
\voice\alarm_clock\notify:4.wav,"acknowledged, you'll be notified at",
\voice\alarm_clock\notify:5.wav,"okay, we'll notify you at",
\voice\alarm_clock\notify:6.wav,we'll notify you at,
\voice\alarm_clock\pm:4.wav,p.m.,
\voice\alarm_clock\pm:5.wav,p.m.,
\voice\alarm_clock\pm:6.wav,p.m.,
\voice\battery\about_to_run_out:1.wav,"this battery is about to run out, mate",
\voice\battery\about_to_run_out:2.wav,"this battery is had it, it's about to run out",
\voice\battery\about_to_run_out:3.wav,this battery is pretty much done,
\voice\battery\battery_use_increasing:1.wav,your battery use is increasing,
\voice\battery\battery_use_increasing:2.wav,your energy use is increasing,
\voice\battery\battery_use_increasing:3.wav,your battery use is increasing,
\voice\battery\battery_use_reducing:1.wav,your battery use is dropping,
\voice\battery\battery_use_reducing:2.wav,your battery use is reducing,
\voice\battery\battery_use_reducing:3.wav,your energy use is reducing,
\voice\battery\battery_use_stable:1.wav,your battery use is now stable,
\voice\battery\battery_use_stable:2.wav,your battery use is stable,
\voice\battery\battery_use_stable:3.wav,your battery use is stabilized,
\voice\battery\critical_battery:1.wav,your battery is almost empty,
\voice\battery\critical_battery:2.wav,the battery is really low,
\voice\battery\critical_battery:3.wav,the battery level is really low,
